record_type,node,longitude,latitude,altitude,task,leg_index,from_node,to_node,longitude_to,latitude_to,payload,distance
leg,,109.2308517,23.0085095,,Q3-G3-1,0,O01,S002,109.2585519,23.0703271,59,7411.533814153884
leg,,109.2585519,23.0703271,,Q3-G3-1,1,S002,O01,109.2308517,23.0085095,0,7411.533814153884
leg,,109.2308517,23.0085095,,Q3-H2-2,0,O01,S013,109.2713839,23.0310882,11,4849.53685454878
leg,,109.2713839,23.0310882,,Q3-H2-2,1,S013,O01,109.2308517,23.0085095,0,4849.53685454878
leg,,109.2308517,23.0085095,,Q3-012,0,O01,S001,109.2432319,23.0335927,22,3054.023607514977
leg,,109.2432319,23.0335927,,Q3-012,1,S001,O01,109.2308517,23.0085095,0,3054.023607514977
leg,,109.2308517,23.0085095,,Q3-013,0,O01,S006,109.1997836,23.007714,22,3186.1988523508394
leg,,109.1997836,23.007714,,Q3-013,1,S006,O01,109.2308517,23.0085095,0,3186.1988523508394
leg,,109.2308517,23.0085095,,Q3-006,0,O01,S004,109.2381714,23.0778414,59,7714.681646286507
leg,,109.2381714,23.0778414,,Q3-006,1,S004,O01,109.2308517,23.0085095,0,7714.681646286507
leg,,109.2308517,23.0085095,,Q3-014,0,O01,S006,109.1997836,23.007714,20,3186.1988523508394
leg,,109.1997836,23.007714,,Q3-014,1,S006,O01,109.2308517,23.0085095,0,3186.1988523508394
leg,,109.2308517,23.0085095,,Q3-007,0,O01,S001,109.2432319,23.0335927,76,3054.023607514977
leg,,109.2432319,23.0335927,,Q3-007,1,S001,O01,109.2308517,23.0085095,0,3054.023607514977
leg,,109.2308517,23.0085095,,Q3-G2-2,0,O01,S002,109.2585519,23.0703271,22,7411.533814153884
leg,,109.2585519,23.0703271,,Q3-G2-2,1,S002,O01,109.2308517,23.0085095,0,7411.533814153884
leg,,109.2308517,23.0085095,,Q3-009,0,O01,S007,109.1928191,23.0294186,17,4534.717374921003
leg,,109.1928191,23.0294186,,Q3-009,1,S007,O01,109.2308517,23.0085095,0,4534.717374921003
leg,,109.2308517,23.0085095,,Q3-H1-2,0,O01,S007,109.1928191,23.0294186,20,4534.717374921003
leg,,109.1928191,23.0294186,,Q3-H1-2,1,S007,O01,109.2308517,23.0085095,0,4534.717374921003
leg,,109.2308517,23.0085095,,Q3-H2-1,0,O01,S013,109.2713839,23.0310882,14,4849.53685454878
leg,,109.2713839,23.0310882,,Q3-H2-1,1,S013,O01,109.2308517,23.0085095,0,4849.53685454878
leg,,109.2308517,23.0085095,,Q3-H1-1,0,O01,S007,109.1928191,23.0294186,8,4534.717374921003
leg,,109.1928191,23.0294186,,Q3-H1-1,1,S007,O01,109.2308517,23.0085095,0,4534.717374921003
leg,,109.2308517,23.0085095,,Q3-023,0,O01,S011,109.2203356,23.0319231,25,2808.1064123718716
leg,,109.2203356,23.0319231,,Q3-023,1,S011,O01,109.2308517,23.0085095,0,2808.1064123718716
leg,,109.2308517,23.0085095,,Q3-016,0,O01,S003,109.1688578,23.0402714,67,7263.826967765937
leg,,109.1688578,23.0402714,,Q3-016,1,S003,O01,109.2308517,23.0085095,0,7263.826967765937
leg,,109.2308517,23.0085095,,Q3-018,0,O01,S015,109.1923786,23.0494548,25,6009.764892220415
leg,,109.1923786,23.0494548,,Q3-018,1,S015,O01,109.2308517,23.0085095,0,6009.764892220415
leg,,109.2308517,23.0085095,,Q3-017,0,O01,S008,109.2127472,23.0795113,45,8079.110448788475
leg,,109.2127472,23.0795113,,Q3-017,1,S008,O01,109.2308517,23.0085095,0,8079.110448788475
leg,,109.2308517,23.0085095,,Q3-026,0,O01,S003,109.1688578,23.0402714,14,7263.826967765937
leg,,109.1688578,23.0402714,,Q3-026,1,S003,O01,109.2308517,23.0085095,0,7263.826967765937
leg,,109.2308517,23.0085095,,Q3-M002,0,O01,S001,109.2432319,23.0335927,71,3054.023607514977
leg,,109.2432319,23.0335927,,Q3-M002,1,S001,S005,109.2283003,23.0561338,59,2928.2450227459353
leg,,109.2283003,23.0561338,,Q3-M002,2,S005,O01,109.2308517,23.0085095,0,5280.5933691157215
leg,,109.2308517,23.0085095,,Q3-G1-2,0,O01,S009,109.2541424,23.0552989,25,5705.303446619009
leg,,109.2541424,23.0552989,,Q3-G1-2,1,S009,O01,109.2308517,23.0085095,0,5705.303446619009
