panel,kind,col,row,east_m,north_m,los_height_m,s_from_km,s_to_km,height_m,time_s,distance_m,margin_db
b,edge,750,597.339435825563,-310.74858117098927,-213.0012754219415,365.778083735417,,,,,,
b,corner,750.0,598,-310.74858117098927,-233.32172083448614,366.25721103196906,,,,,,
b,edge,751,597.7612315630678,-282.27188446706754,-225.97666462840283,365.685261682018,,,,,,
b,edge,750.6778118655886,598,-291.4467382525297,-233.32172083448614,365.98692451060947,,,,,,
b,edge,752,597.0201476700546,-253.79518776460262,-203.17925087654717,364.7489676464145,,,,,,
b,edge,747.3829548704255,599,-385.2733815843335,-264.0839786122428,368.02612311063365,,,,,,
b,edge,748,598.6084733027325,-367.7019745773759,-252.03973342395406,367.4960819080982,,,,,,
b,corner,748.0,599,-367.7019745773759,-264.0839786122428,367.7800681357038,,,,,,
b,corner,749.0,599,-339.225277874911,-264.0839786122428,367.3813047987344,,,,,,
b,edge,750,598.5023154560811,-310.74858117098927,-248.77407838025852,366.6215557176215,,,,,,
b,edge,749.3284369710218,599,-329.87247786456334,-264.0839786122428,367.25033617618556,,,,,,
b,corner,746.0,600,-424.6553679852194,-294.84623638999943,369.3029252394384,,,,,,
b,edge,746,599.877510779902,-424.6553679852194,-291.07819142636004,369.21408008077935,,,,,,
b,edge,747,599.2429920413173,-396.1786712812977,-271.5589624249603,368.3550809944388,,,,,,
b,corner,747.0,600,-396.1786712812977,-294.84623638999943,368.904161902469,,,,,,
b,edge,748,599.9844832421074,-367.7019745773759,-294.3689058835764,368.4941437888284,,,,,,
b,edge,747.9790620764547,600,-368.2982174765969,-294.84623638999943,368.51374784176176,,,,,,
b,edge,749,599.2433993490943,-339.225277874911,-271.5714921321142,367.5578497532249,,,,,,
b,corner,746.0,601,-424.6553679852194,-325.60849416736266,370.0282556692342,,,,,,
b,edge,747,600.7255671351206,-396.1786712812977,-317.1663196354321,369.4304378244318,,,,,,
b,edge,746.6296871818877,601,-406.7239570886305,-325.60849416736266,369.77715950733784,,,,,,
c,dem_cell,759,590,,,,0.03149927355490663,0.03181221655607864,258.1507873535156,,,
c,dem_cell,760,590,,,,0.0,0.03149927355490663,251.64242553710938,,,
c,dem_cell,758,591,,,,0.06602350498644108,0.08622232193537521,276.39288330078125,,,
c,dem_cell,759,591,,,,0.03181221655607864,0.06602350498644108,264.2420349121094,,,
c,dem_cell,756,592,,,,0.13507196784951,0.1406324273146718,311.0489196777344,,,
c,dem_cell,757,592,,,,0.10054773641797554,0.13507196784951,299.6134948730469,,,
c,dem_cell,758,592,,,,0.08622232193537521,0.10054773641797554,288.2222900390625,,,
c,dem_cell,755,593,,,,0.16959619928104444,0.19504253269396835,328.4657287597656,,,
c,dem_cell,756,593,,,,0.1406324273146718,0.16959619928104444,320.8466796875,,,
c,dem_cell,753,594,,,,0.2386446621441134,0.2494526380732649,334.99169921875,,,
c,dem_cell,754,594,,,,0.2041204307125789,0.2386446621441134,339.862548828125,,,
c,dem_cell,755,594,,,,0.19504253269396835,0.2041204307125789,338.1519775390625,,,
c,dem_cell,752,595,,,,0.27316889357564783,0.3038627434525615,336.6756896972656,,,
c,dem_cell,753,595,,,,0.2494526380732649,0.27316889357564783,342.6562805175781,,,
c,dem_cell,750,596,,,,0.34221735643871676,0.358272848831858,353.8161926269531,,,
c,dem_cell,751,596,,,,0.30769312500718227,0.34221735643871676,347.4532775878906,,,
c,dem_cell,752,596,,,,0.3038627434525615,0.30769312500718227,346.2403564453125,,,
c,dem_cell,748,597,,,,0.4112658193017857,0.41268295421115464,353.6413879394531,,,
c,dem_cell,749,597,,,,0.3767415878702512,0.4112658193017857,349.14007568359375,,,
c,dem_cell,750,597,,,,0.358272848831858,0.3767415878702512,342.5624694824219,,,
c,dem_cell,747,598,,,,0.4457900507333201,0.4670930595904512,349.46368408203125,,,
c,dem_cell,748,598,,,,0.41268295421115464,0.4457900507333201,341.6795959472656,,,
c,dem_cell,745,599,,,,0.514838513596389,0.5215031649697478,323.0767822265625,,,
c,dem_cell,746,599,,,,0.4803142821648546,0.514838513596389,335.2074890136719,,,
c,dem_cell,747,599,,,,0.4670930595904512,0.4803142821648546,343.4676208496094,,,
c,dem_cell,744,600,,,,0.5493627450279235,0.5759132703490444,312.1192321777344,,,
c,dem_cell,745,600,,,,0.5215031649697478,0.5493627450279235,318.3029479980469,,,
c,dem_cell,742,601,,,,0.6184112078909924,0.630323375728341,306.30029296875,,,
c,dem_cell,743,601,,,,0.583886976459458,0.6184112078909924,296.82366943359375,,,
c,dem_cell,744,601,,,,0.5759132703490444,0.583886976459458,296.6974792480469,,,
c,dem_cell,741,602,,,,0.652935439322527,0.6847334811076375,307.7373962402344,,,
c,dem_cell,742,602,,,,0.630323375728341,0.652935439322527,294.2203674316406,,,
c,dem_cell,739,603,,,,0.7219839021855957,0.739143586486934,316.7120056152344,,,
c,dem_cell,740,603,,,,0.6874596707540613,0.7219839021855957,313.815673828125,,,
c,dem_cell,741,603,,,,0.6847334811076375,0.6874596707540613,301.66375732421875,,,
c,dem_cell,737,604,,,,0.7910323650486648,0.7935536918662307,306.1243896484375,,,
c,dem_cell,738,604,,,,0.7565081336171303,0.7910323650486648,309.4956970214844,,,
c,dem_cell,739,604,,,,0.739143586486934,0.7565081336171303,304.25213623046875,,,
c,dem_cell,736,605,,,,0.8255565964801991,0.8479637972455273,288.6280822753906,,,
c,dem_cell,737,605,,,,0.7935536918662307,0.8255565964801991,303.00506591796875,,,
c,dem_cell,734,606,,,,0.894605059343268,0.9023739026248238,283.0245666503906,,,
c,dem_cell,735,606,,,,0.8600808279117337,0.894605059343268,291.1455383300781,,,
c,dem_cell,736,606,,,,0.8479637972455273,0.8600808279117337,297.610107421875,,,
c,dem_cell,733,607,,,,0.9291292907748024,0.9567840080041203,289.02178955078125,,,
c,dem_cell,734,607,,,,0.9023739026248238,0.9291292907748024,296.8204345703125,,,
c,dem_cell,731,608,,,,0.9981777536378714,1.011194113383417,277.4698181152344,,,
c,dem_cell,732,608,,,,0.9636535222063369,0.9981777536378714,287.8287658691406,,,
c,dem_cell,733,608,,,,0.9567840080041203,0.9636535222063369,292.0307922363281,,,
c,dem_cell,730,609,,,,1.032701985069406,1.0656042187627133,253.16934204101562,,,
c,dem_cell,731,609,,,,1.011194113383417,1.032701985069406,269.40679931640625,,,
c,dem_cell,728,610,,,,1.101750447932475,1.1200143241420102,235.02920532226562,,,
c,dem_cell,729,610,,,,1.0672262165009403,1.101750447932475,246.9262237548828,,,
c,dem_cell,730,610,,,,1.0656042187627133,1.0672262165009403,263.3197326660156,,,
c,dem_cell,726,611,,,,1.1707989107955437,1.1744244295213067,228.9230499267578,,,
c,dem_cell,727,611,,,,1.1362746793640093,1.1707989107955437,241.2689208984375,,,
c,dem_cell,728,611,,,,1.1200143241420102,1.1362746793640093,255.31396484375,,,
c,dem_cell,725,612,,,,1.205323142227078,1.2288345349006033,237.57168579101562,,,
c,dem_cell,726,612,,,,1.1744244295213067,1.205323142227078,238.3690948486328,,,
c,dem_cell,723,613,,,,1.274371605090147,1.2832446402798996,248.41973876953125,,,
c,dem_cell,724,613,,,,1.2398473736586126,1.274371605090147,255.49478149414062,,,
c,dem_cell,725,613,,,,1.2288345349006033,1.2398473736586126,252.24569702148438,,,
c,dem_cell,722,614,,,,1.3088958365216816,1.3376547456591963,232.2275848388672,,,
c,dem_cell,723,614,,,,1.2832446402798996,1.3088958365216816,249.59947204589844,,,
c,dem_cell,720,615,,,,1.3779442993847504,1.3920648510384928,212.1155242919922,,,
c,dem_cell,721,615,,,,1.343420067953216,1.3779442993847504,217.83706665039062,,,
c,dem_cell,722,615,,,,1.3376547456591963,1.343420067953216,230.76187133789062,,,
c,dem_cell,719,616,,,,1.412468530816285,1.4464749564177897,215.08917236328125,,,
c,dem_cell,720,616,,,,1.3920648510384928,1.412468530816285,224.08021545410156,,,
c,dem_cell,717,617,,,,1.4815169936793537,1.5008850617970861,216.86524963378906,,,
c,dem_cell,718,617,,,,1.4469927622478191,1.4815169936793537,207.66444396972656,,,
c,dem_cell,719,617,,,,1.4464749564177897,1.4469927622478191,218.81588745117188,,,
c,dem_cell,715,618,,,,1.5505654565424227,1.5552951671763826,219.32640075683594,,,
c,dem_cell,716,618,,,,1.5160412251108883,1.5505654565424227,216.1956787109375,,,
c,dem_cell,717,618,,,,1.5008850617970861,1.5160412251108883,206.94517517089844,,,
c,dem_cell,714,619,,,,1.5850896879739573,1.609705272555679,203.49537658691406,,,
c,dem_cell,715,619,,,,1.5552951671763826,1.5850896879739573,214.61630249023438,,,
c,dem_cell,712,620,,,,1.6541381508370259,1.6641153779349755,165.74325561523438,,,
c,dem_cell,713,620,,,,1.6196139194054915,1.6541381508370259,180.2054443359375,,,
c,dem_cell,714,620,,,,1.609705272555679,1.6196139194054915,197.21017456054688,,,
c,dem_cell,711,621,,,,1.6886623822685605,1.7185254833142725,161.5189666748047,,,
c,dem_cell,712,621,,,,1.6641153779349755,1.6886623822685605,166.5808563232422,,,
c,dem_cell,709,622,,,,1.7577108451316295,1.772935588693569,168.63494873046875,,,
c,dem_cell,710,622,,,,1.723186613700095,1.7577108451316295,157.7694854736328,,,
c,dem_cell,711,622,,,,1.7185254833142725,1.723186613700095,159.23240661621094,,,
c,dem_cell,707,623,,,,1.8267593079946984,1.8273456940728654,215.85348510742188,,,
c,dem_cell,708,623,,,,1.792235076563164,1.8267593079946984,194.75682067871094,,,
c,dem_cell,709,623,,,,1.772935588693569,1.792235076563164,166.09068298339844,,,
c,dem_cell,706,624,,,,1.8612835394262328,1.881755799452162,232.31231689453125,,,
c,dem_cell,707,624,,,,1.8273456940728654,1.8612835394262328,218.20530700683594,,,
c,dem_cell,704,625,,,,1.930332002289302,1.9361659048314586,230.29122924804688,,,
c,dem_cell,705,625,,,,1.895807770857767,1.930332002289302,239.35430908203125,,,
c,dem_cell,706,625,,,,1.881755799452162,1.895807770857767,233.75038146972656,,,
c,dem_cell,703,626,,,,1.9648562337208362,1.9905760102107553,206.7055206298828,,,
c,dem_cell,704,626,,,,1.9361659048314586,1.9648562337208362,221.1980743408203,,,
c,dem_cell,701,627,,,,2.0339046965839054,2.044986115590052,206.7920684814453,,,
c,dem_cell,702,627,,,,1.9993804651523706,2.0339046965839054,200.47213745117188,,,
c,dem_cell,703,627,,,,1.9905760102107553,1.9993804651523706,204.66668701171875,,,
c,dem_cell,700,628,,,,2.06842892801544,2.099396220969348,208.1763916015625,,,
c,dem_cell,701,628,,,,2.044986115590052,2.06842892801544,203.7014923095703,,,
c,dem_cell,698,629,,,,2.1374773908785083,2.153806326348645,226.3910369873047,,,
c,dem_cell,699,629,,,,2.102953159446974,2.1374773908785083,224.66864013671875,,,
c,dem_cell,700,629,,,,2.099396220969348,2.102953159446974,223.6001434326172,,,
c,dem_cell,696,630,,,,2.2065258537415775,2.2082164317279416,251.62547302246094,,,
c,dem_cell,697,630,,,,2.172001622310043,2.2065258537415775,248.2237091064453,,,
c,dem_cell,698,630,,,,2.153806326348645,2.172001622310043,245.0563507080078,,,
c,dem_cell,695,631,,,,2.2410500851731117,2.2626265371072383,233.53427124023438,,,
c,dem_cell,696,631,,,,2.2082164317279416,2.2410500851731117,238.8275909423828,,,
c,dem_cell,693,632,,,,2.310098548036181,2.3170366424865345,211.06195068359375,,,
c,dem_cell,694,632,,,,2.2755743166046463,2.310098548036181,210.45138549804688,,,
c,dem_cell,695,632,,,,2.2626265371072383,2.2755743166046463,211.72238159179688,,,
c,dem_cell,692,633,,,,2.344622779467715,2.371446747865831,209.6607666015625,,,
c,dem_cell,693,633,,,,2.3170366424865345,2.344622779467715,198.42686462402344,,,
c,dem_cell,690,634,,,,2.4136712423307847,2.425856853245128,209.20030212402344,,,
c,dem_cell,691,634,,,,2.379147010899249,2.4136712423307847,208.6538848876953,,,
c,dem_cell,692,634,,,,2.371446747865831,2.379147010899249,200.42977905273438,,,
c,dem_cell,689,635,,,,2.448195473762319,2.4802669586244246,202.0989532470703,,,
c,dem_cell,690,635,,,,2.425856853245128,2.448195473762319,198.44369506835938,,,
c,dem_cell,687,636,,,,2.5172439366253876,2.534677064003721,213.32504272460938,,,
c,dem_cell,688,636,,,,2.482719705193853,2.5172439366253876,218.35546875,,,
c,dem_cell,689,636,,,,2.4802669586244246,2.482719705193853,221.4178466796875,,,
c,dem_cell,685,637,,,,2.5862923994884564,2.589087169383017,232.16732788085938,,,
c,dem_cell,686,637,,,,2.551768168056922,2.5862923994884564,230.2447967529297,,,
c,dem_cell,687,637,,,,2.534677064003721,2.551768168056922,227.207275390625,,,
c,dem_cell,684,638,,,,2.6208166309199905,2.643497274762314,245.8451690673828,,,
c,dem_cell,685,638,,,,2.589087169383017,2.6208166309199905,248.4625701904297,,,
c,dem_cell,682,639,,,,2.6898650937830597,2.697907380141611,258.56842041015625,,,
c,dem_cell,683,639,,,,2.6553408623515256,2.6898650937830597,261.0797119140625,,,
c,dem_cell,684,639,,,,2.643497274762314,2.6553408623515256,263.58526611328125,,,
c,dem_cell,681,640,,,,2.724389325214594,2.752317485520907,267.47320556640625,,,
c,dem_cell,682,640,,,,2.697907380141611,2.724389325214594,273.3438720703125,,,
c,dem_cell,679,641,,,,2.7934377880776635,2.806727590900204,277.4208679199219,,,
c,dem_cell,680,641,,,,2.7589135566461285,2.7934377880776635,277.4312744140625,,,
c,dem_cell,681,641,,,,2.752317485520907,2.7589135566461285,278.1968688964844,,,
c,dem_cell,678,642,,,,2.8279620195091977,2.8611376962795,296.9696960449219,,,
c,dem_cell,679,642,,,,2.806727590900204,2.8279620195091977,292.8753356933594,,,
c,dem_cell,676,643,,,,2.897010482372267,2.9155478016587972,303.4841003417969,,,
c,dem_cell,677,643,,,,2.8624862509407323,2.897010482372267,306.9599304199219,,,
c,dem_cell,678,643,,,,2.8611376962795,2.8624862509407323,304.9871826171875,,,
c,dem_cell,674,644,,,,2.966058945235335,2.969957907038094,296.3702697753906,,,
c,dem_cell,675,644,,,,2.931534713803801,2.966058945235335,300.78277587890625,,,
c,dem_cell,676,644,,,,2.9155478016587972,2.931534713803801,305.2400817871094,,,
c,dem_cell,673,645,,,,3.0005831766668702,3.0243680124173897,311.91839599609375,,,
c,dem_cell,674,645,,,,2.969957907038094,3.0005831766668702,311.0563049316406,,,
c,dem_cell,671,646,,,,3.0696316395299386,3.078778117796687,325.6877746582031,,,
c,dem_cell,672,646,,,,3.0351074080984044,3.0696316395299386,323.55450439453125,,,
c,dem_cell,673,646,,,,3.0243680124173897,3.0351074080984044,319.7593688964844,,,
c,dem_cell,670,647,,,,3.104155870961473,3.1331882231759827,334.95904541015625,,,
c,dem_cell,671,647,,,,3.078778117796687,3.104155870961473,320.74969482421875,,,
c,dem_cell,668,648,,,,3.1732043338245424,3.18759832855528,342.6126708984375,,,
c,dem_cell,669,648,,,,3.1386801023930078,3.1732043338245424,341.5636291503906,,,
c,dem_cell,670,648,,,,3.1331882231759827,3.1386801023930078,328.4829406738281,,,
c,dem_cell,667,649,,,,3.207728565256077,3.242008433934576,328.110595703125,,,
c,dem_cell,668,649,,,,3.18759832855528,3.207728565256077,336.8330078125,,,
c,dem_cell,665,650,,,,3.2767770281191453,3.296418539313873,295.9916687011719,,,
c,dem_cell,666,650,,,,3.2422527966876116,3.2767770281191453,311.0358581542969,,,
c,dem_cell,667,650,,,,3.242008433934576,3.2422527966876116,318.02227783203125,,,
c,dem_cell,663,651,,,,3.345825490982215,3.3508286446931694,258.2247009277344,,,
c,dem_cell,664,651,,,,3.31130125955068,3.345825490982215,272.18206787109375,,,
c,dem_cell,665,651,,,,3.296418539313873,3.31130125955068,283.48236083984375,,,
c,dem_cell,662,652,,,,3.3803497224137486,3.405238750072466,241.89683532714844,,,
c,dem_cell,663,652,,,,3.3508286446931694,3.3803497224137486,245.32774353027344,,,
c,dem_cell,660,653,,,,3.449398185276818,3.459648855451763,250.95594787597656,,,
c,dem_cell,661,653,,,,3.4148739538452832,3.449398185276818,242.14651489257812,,,
c,dem_cell,662,653,,,,3.405238750072466,3.4148739538452832,241.0167694091797,,,
c,dem_cell,659,654,,,,3.483922416708352,3.5140589608310586,252.5988311767578,,,
c,dem_cell,660,654,,,,3.459648855451763,3.483922416708352,237.24331665039062,,,
c,dem_cell,657,655,,,,3.552970879571421,3.5684690662103558,253.39212036132812,,,
c,dem_cell,658,655,,,,3.5184466481398866,3.552970879571421,241.90887451171875,,,
c,dem_cell,659,655,,,,3.5140589608310586,3.5184466481398866,234.11537170410156,,,
c,dem_cell,655,656,,,,3.6220193424344904,3.622879171589653,271.2674255371094,,,
c,dem_cell,656,656,,,,3.5874951110029554,3.6220193424344904,262.5770568847656,,,
c,dem_cell,657,656,,,,3.5684690662103558,3.5874951110029554,254.98727416992188,,,
c,dem_cell,654,657,,,,3.656543573866025,3.6772892769689487,294.49298095703125,,,
c,dem_cell,655,657,,,,3.622879171589653,3.656543573866025,290.2899169921875,,,
c,dem_cell,652,658,,,,3.725592036729094,3.7316993823482454,315.8334045410156,,,
c,dem_cell,653,658,,,,3.691067805297559,3.725592036729094,305.3430480957031,,,
c,dem_cell,654,658,,,,3.6772892769689487,3.691067805297559,305.10662841796875,,,
c,dem_cell,651,659,,,,3.760116268160628,3.786109487727542,336.80029296875,,,
c,dem_cell,652,659,,,,3.7316993823482454,3.760116268160628,330.0023193359375,,,
c,dem_cell,649,660,,,,3.829164731023697,3.8405195931068383,323.52508544921875,,,
c,dem_cell,650,660,,,,3.7946404995921625,3.829164731023697,322.9955139160156,,,
c,dem_cell,651,660,,,,3.786109487727542,3.7946404995921625,329.7948913574219,,,
c,dem_cell,648,661,,,,3.863688962455231,3.8949296984861355,298.1289978027344,,,
c,dem_cell,649,661,,,,3.8405195931068383,3.863688962455231,306.0572509765625,,,
c,dem_cell,646,662,,,,3.9327374253183005,3.9493398038654317,309.9544677734375,,,
c,dem_cell,647,662,,,,3.898213193886766,3.9327374253183005,289.3515625,,,
c,dem_cell,648,662,,,,3.8949296984861355,3.898213193886766,283.1773376464844,,,
c,dem_cell,644,663,,,,4.001785888181369,4.0037499092447275,334.34722900390625,,,
c,dem_cell,645,663,,,,3.967261656749834,4.001785888181369,315.12713623046875,,,
c,dem_cell,646,663,,,,3.9493398038654317,3.967261656749834,297.68939208984375,,,
c,dem_cell,643,664,,,,4.036310119612904,4.058160014624025,345.25689697265625,,,
c,dem_cell,644,664,,,,4.0037499092447275,4.036310119612904,339.05218505859375,,,
c,dem_cell,641,665,,,,4.105358582475973,4.112570120003322,336.0892639160156,,,
c,dem_cell,642,665,,,,4.070834351044438,4.105358582475973,327.9481201171875,,,
c,dem_cell,643,665,,,,4.058160014624025,4.070834351044438,335.0415954589844,,,
c,dem_cell,640,666,,,,4.139882813907508,4.166980225382617,352.677978515625,,,
c,dem_cell,641,666,,,,4.112570120003322,4.139882813907508,336.5251159667969,,,
c,dem_cell,638,667,,,,4.208931276770576,4.221390330761915,341.29052734375,,,
c,dem_cell,639,667,,,,4.174407045339041,4.208931276770576,345.55865478515625,,,
c,dem_cell,640,667,,,,4.166980225382617,4.174407045339041,349.0271911621094,,,
c,dem_cell,637,668,,,,4.24345550820211,4.275800436141211,347.91119384765625,,,
c,dem_cell,638,668,,,,4.221390330761915,4.24345550820211,338.57049560546875,,,
c,dem_cell,635,669,,,,4.31250397106518,4.330210541520508,382.8733825683594,,,
c,dem_cell,636,669,,,,4.277979739633644,4.31250397106518,374.9187316894531,,,
c,dem_cell,637,669,,,,4.275800436141211,4.277979739633644,364.83441162109375,,,
c,dem_cell,633,670,,,,4.381552433928248,4.384620646899804,382.9112854003906,,,
c,dem_cell,634,670,,,,4.3470282024967135,4.381552433928248,374.80712890625,,,
c,dem_cell,635,670,,,,4.330210541520508,4.3470282024967135,368.41259765625,,,
c,dem_cell,632,671,,,,4.416076665359783,4.439030752279101,373.593505859375,,,
c,dem_cell,633,671,,,,4.384620646899804,4.416076665359783,369.22991943359375,,,
c,dem_cell,630,672,,,,4.485125128222851,4.493440857658397,350.83209228515625,,,
c,dem_cell,631,672,,,,4.450600896791316,4.485125128222851,352.2987060546875,,,
c,dem_cell,632,672,,,,4.439030752279101,4.450600896791316,359.9794006347656,,,
c,dem_cell,629,673,,,,4.519649359654386,4.5478509630376935,333.695556640625,,,
c,dem_cell,630,673,,,,4.493440857658397,4.519649359654386,336.05584716796875,,,
c,dem_cell,627,674,,,,4.588697822517455,4.602261068416991,320.0143127441406,,,
c,dem_cell,628,674,,,,4.55417359108592,4.588697822517455,318.1357116699219,,,
c,dem_cell,629,674,,,,4.5478509630376935,4.55417359108592,316.42510986328125,,,
c,dem_cell,626,675,,,,4.62322205394899,4.656671173796288,342.088623046875,,,
c,dem_cell,627,675,,,,4.602261068416991,4.62322205394899,329.76885986328125,,,
c,dem_cell,624,676,,,,4.692270516812059,4.711081279175583,376.95599365234375,,,
c,dem_cell,625,676,,,,4.657746285380524,4.692270516812059,365.6422119140625,,,
c,dem_cell,626,676,,,,4.656671173796288,4.657746285380524,353.27471923828125,,,
c,dem_cell,622,677,,,,4.761318979675128,4.76549138455488,393.1432189941406,,,
c,dem_cell,623,677,,,,4.726794748243592,4.761318979675128,390.5929260253906,,,
c,dem_cell,624,677,,,,4.711081279175583,4.726794748243592,384.0568542480469,,,
c,dem_cell,621,678,,,,4.7958432111066625,4.819901489934177,374.7220458984375,,,
c,dem_cell,622,678,,,,4.76549138455488,4.7958432111066625,374.8853454589844,,,
c,dem_cell,619,679,,,,4.864891673969731,4.874311595313473,377.5674133300781,,,
c,dem_cell,620,679,,,,4.830367442538196,4.864891673969731,365.907470703125,,,
c,dem_cell,621,679,,,,4.819901489934177,4.830367442538196,358.22344970703125,,,
c,dem_cell,618,680,,,,4.899415905401265,4.92872170069277,407.7876281738281,,,
c,dem_cell,619,680,,,,4.874311595313473,4.899415905401265,395.8158874511719,,,
c,dem_cell,616,681,,,,4.968464368264334,4.983131806072067,399.2355651855469,,,
c,dem_cell,617,681,,,,4.933940136832799,4.968464368264334,410.76611328125,,,
c,dem_cell,618,681,,,,4.92872170069277,4.933940136832799,418.4873352050781,,,
c,dem_cell,614,682,,,,5.037512831127403,5.037541911451362,381.1003112792969,,,
c,dem_cell,615,682,,,,5.002988599695868,5.037512831127403,380.5320739746094,,,
c,dem_cell,616,682,,,,4.983131806072067,5.002988599695868,389.7042236328125,,,
c,dem_cell,613,683,,,,5.0720370625589375,5.09195201683066,376.1054382324219,,,
c,dem_cell,614,683,,,,5.037541911451362,5.0720370625589375,371.313720703125,,,
c,dem_cell,611,684,,,,5.141085525422006,5.146362122209957,395.2040100097656,,,
c,dem_cell,612,684,,,,5.106561293990472,5.141085525422006,374.7388610839844,,,
c,dem_cell,613,684,,,,5.09195201683066,5.106561293990472,363.2755432128906,,,
c,dem_cell,610,685,,,,5.17560975685354,5.200772227589253,403.51788330078125,,,
c,dem_cell,611,685,,,,5.146362122209957,5.17560975685354,392.78228759765625,,,
c,dem_cell,608,686,,,,5.24465821971661,5.255182332968549,398.2159423828125,,,
c,dem_cell,609,686,,,,5.210133988285075,5.24465821971661,398.48699951171875,,,
c,dem_cell,610,686,,,,5.200772227589253,5.210133988285075,394.8961181640625,,,
c,dem_cell,607,687,,,,5.279182451148144,5.309592438347846,384.1116943359375,,,
c,dem_cell,608,687,,,,5.255182332968549,5.279182451148144,395.38543701171875,,,
c,dem_cell,605,688,,,,5.3482309140112125,5.364002543727143,366.8406066894531,,,
c,dem_cell,606,688,,,,5.313706682579678,5.3482309140112125,378.6976013183594,,,
c,dem_cell,607,688,,,,5.309592438347846,5.313706682579678,392.8681640625,,,
c,dem_cell,603,689,,,,5.417279376874282,5.418412649106439,367.5479736328125,,,
