record_type,source_index,task,event,phase,start,end,start_exact_decimal,end_exact_decimal,parameter_start,parameter_end,mode,relay,endpoint_semantics
interval,24,Q3-002,2,巡航,631.8724147564284,692.3316409266408,631.8724147564284312157008591865822497177397746345268534008127996289690361617760440516412063163967546,692.3316409266408000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.3721187314098608303937045650403816608249929774072833089219371523639565809084565697769093440303477135,0.5616589794176041668868022685039093674015614089945089249770331144714548895261146981505560384303403569,direct,,open; exact instants in boundary supplement
interval,25,Q3-002,2,巡航,692.3316409266408,761.4144751888756,692.3316409266408000000000000000000000000000000000000000000000000000000000000000000000000000000000000,761.4144751888756000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.5616589794176041668868022685039093674015614089945089249770331144714548895261146981505560384303403569,0.7782343206612716065670130128410155601794495740534712316711140267380590026843072766822374858799598354,direct,,open; exact instants in boundary supplement
interval,26,Q3-002,2,巡航,761.4144751888756,775.9239245100816,761.4144751888756000000000000000000000000000000000000000000000000000000000000000000000000000000000000,775.9239245100816000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.7782343206612716065670130128410155601794495740534712316711140267380590026843072766822374858799598354,0.8237215820273809567078110223990906614467131007675076600648763945331052296863071742667848928777594992,direct,,open; exact instants in boundary supplement
interval,27,Q3-002,2,巡航,775.9239245100816,776.228214592116,775.9239245100816000000000000000000000000000000000000000000000000000000000000000000000000000000000000,776.2282145921160502853289163848633832137339209716695038465925609282965711396916818239953071901711046,0.8237215820273809567078110223990906614467131007675076600648763945331052296863071742667848928777594992,0.8246755343233089891329116596980246153922578426794426618582551196035771006190807742822273931495478851,direct,,open; exact instants in boundary supplement
interval,28,Q3-002,2,巡航,776.228214592116,829.0684948941623,776.2282145921160502853289163848633832137339209716695038465925609282965711396916818239953071901711046,829.0684948941623000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.8246755343233089891329116596980246153922578426794426618582551196035771006190807742822273931495478851,0.9903303147045865890151352235135652366736173299266881048091522817219175064414650668266323837187940689,relay,R-001,open; exact instants in boundary supplement
interval,29,Q3-002,2,巡航,829.0684948941623,832.1529146752649,829.0684948941623000000000000000000000000000000000000000000000000000000000000000000000000000000000000,832.1529146752649,0.9903303147045865890151352235135652366736173299266881048091522817219175064414650668266323837187940689,1,relay,R-001,open; exact instants in boundary supplement
interval,30,Q3-002,3,下降,832.1529146752649,833.9017957490098,832.1529146752649,833.9017957490098000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,0.04162192218733402735240064990452529053293819244756708848048824694122304796452137665801522726939486439,relay,R-001,open; exact instants in boundary supplement
interval,31,Q3-002,3,下降,833.9017957490098,874.1711824975305,833.9017957490098000000000000000000000000000000000000000000000000000000000000000000000000000000000000,874.1711824975305,0.04162192218733402735240064990452529053293819244756708848048824694122304796452137665801522726939486439,1,relay,R-001,open; exact instants in boundary supplement
interval,32,Q3-002,4,交接,874.1711824975305,1162.1711824975305,874.1711824975305,1162.1711824975305,0,1,relay,R-001,open; exact instants in boundary supplement
interval,33,Q3-002,5,爬升,1162.1711824975305,1194.3866918963472,1162.1711824975305,1194.386691896347200000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,0.9583780778126695672876424278932575741839407007827841806970757841822949206110797755986725105178135731,relay,R-001,open; exact instants in boundary supplement
interval,34,Q3-002,5,爬升,1194.3866918963472,1195.785796755343,1194.386691896347200000000000000000000000000000000000000000000000000000000000000000000000000000000000,1195.7857967553430,0.9583780778126695672876424278932575741839407007827841806970757841822949206110797755986725105178135731,1,relay,R-001,open; exact instants in boundary supplement
interval,35,Q3-002,6,巡航,1195.785796755343,1251.710496838492,1195.7857967553430,1251.710496838491849714671083615136616786266079028330496153407439071703428860308318176004692809828895,0,0.1753244656766910108670883403019753846077421573205573381417448803964228993809192257177726068504521149,relay,R-001,open; exact instants in boundary supplement
interval,36,Q3-002,6,巡航,1251.710496838492,1252.0147869205261,1251.710496838491849714671083615136616786266079028330496153407439071703428860308318176004692809828895,1252.014786920526100000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.1753244656766910108670883403019753846077421573205573381417448803964228993809192257177726068504521149,0.1762784179726184162902902959143642319959321631457830449620479906614012727135968731502479762122399447,direct,,open; exact instants in boundary supplement
interval,37,Q3-002,6,巡航,1252.0147869205261,1266.5242362417323,1252.014786920526100000000000000000000000000000000000000000000000000000000000000000000000000000000000,1266.524236241732300000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.1762784179726184162902902959143642319959321631457830449620479906614012727135968731502479762122399447,0.2217656793387283934329869871589844398205504259465287683288859732619409973156927233177625141200401646,direct,,open; exact instants in boundary supplement
interval,38,Q3-002,6,巡航,1266.5242362417323,1396.0662966741795,1266.524236241732300000000000000000000000000000000000000000000000000000000000000000000000000000000000,1396.066296674179468784299140813417750282260225365473146599187200371030963838223955948358793683603245,0.2217656793387283934329869871589844398205504259465287683288859732619409973156927233177625141200401646,0.6278812685901391696062954349596183391750070225927166910780628476360434190915434302230906559696522865,direct,,open; exact instants in boundary supplement
interval,39,Q3-002,6,巡航,1396.0662966741795,1397.3360013976633,1396.066296674179468784299140813417750282260225365473146599187200371030963838223955948358793683603245,1397.336001397663300000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.6278812685901391696062954349596183391750070225927166910780628476360434190915434302230906559696522865,0.6318618049520865094603617137178304724069007775251568352779326093734460713222604127006707024244464396,direct,,open; exact instants in boundary supplement
interval,40,Q3-002,6,巡航,1397.3360013976633,1514.7640971727953,1397.336001397663300000000000000000000000000000000000000000000000000000000000000000000000000000000000,1514.7640971727953,0.6318618049520865094603617137178304724069007775251568352779326093734460713222604127006707024244464396,1,direct,,open; exact instants in boundary supplement
interval,41,Q3-002,7,下降,1514.7640971727953,1580.0,1514.7640971727953,1580.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,0.4236970627123648676312853703922886461703534128541047470004358906914480113975239904116538361594221896,direct,,open; exact instants in boundary supplement
interval,42,Q3-002,7,下降,1580.0,1604.0305378046253,1580.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1604.030537804625300000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.4236970627123648676312853703922886461703534128541047470004358906914480113975239904116538361594221896,0.5797716756473178806622874422215049853131401952975223012385150552256430291207211984137601502098521409,direct,,open; exact instants in boundary supplement
interval,43,Q3-002,7,下降,1604.0305378046253,1643.9022283938828,1604.030537804625300000000000000000000000000000000000000000000000000000000000000000000000000000000000,1643.902228393882800000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.5797716756473178806622874422215049853131401952975223012385150552256430291207211984137601502098521409,0.8387321169980230322663740363939237330165236316166050273348217628182672785490498728336698235326081769,direct,,open; exact instants in boundary supplement
interval,44,Q3-002,7,下降,1643.9022283938828,1668.732364995061,1643.902228393882800000000000000000000000000000000000000000000000000000000000000000000000000000000000,1668.7323649950610,0.8387321169980230322663740363939237330165236316166050273348217628182672785490498728336698235326081769,1,direct,,open; exact instants in boundary supplement
interval,45,Q3-003,1,爬升,390.0,544.7491292317709,390.0000000000000,544.7491292317709,0,1,direct,,open; exact instants in boundary supplement
interval,46,Q3-003,2,巡航,544.7491292317709,692.3316409266408,544.7491292317709,692.3316409266408000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,0.4084736318579218157373078906130698181428868313302183674777324659268446688086769359468596356161777828,direct,,open; exact instants in boundary supplement
interval,47,Q3-003,2,巡航,692.3316409266408,752.2304465209571,692.3316409266408000000000000000000000000000000000000000000000000000000000000000000000000000000000000,752.2304465209571000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.4084736318579218157373078906130698181428868313302183674777324659268446688086769359468596356161777828,0.5742594176131352617960388200630128532258287024946797432162462079571861538409361557751444334487666895,direct,,open; exact instants in boundary supplement
interval,48,Q3-003,2,巡航,752.2304465209571,752.405411558334,752.2304465209571000000000000000000000000000000000000000000000000000000000000000000000000000000000000,752.4054115583340000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.5742594176131352617960388200630128532258287024946797432162462079571861538409361557751444334487666895,0.5747436796265997181923051128901147026261823805639581431343808542568762243153311967983802052471339366,direct,,open; exact instants in boundary supplement
interval,49,Q3-003,2,巡航,752.405411558334,754.9322607037674,752.4054115583340000000000000000000000000000000000000000000000000000000000000000000000000000000000000,754.9322607037674035805013216774627048210537930590969137218089033148676056755680269330894035346142233,0.5747436796265997181923051128901147026261823805639581431343808542568762243153311967983802052471339366,0.5817374029054544914435528683711359772809159062385053461177391578972829948639090631386938420512645743,direct,,open; exact instants in boundary supplement
interval,50,Q3-003,2,巡航,754.9322607037674,806.5286948178195,754.9322607037674035805013216774627048210537930590969137218089033148676056755680269330894035346142233,806.5286948178195000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.5817374029054544914435528683711359772809159062385053461177391578972829948639090631386938420512645743,0.7245441798836067574000638445849294005471373034810142219135948960215202464965199403571497939049813919,direct,,open; exact instants in boundary supplement
interval,51,Q3-003,2,巡航,806.5286948178195,806.8341108106791,806.5286948178195000000000000000000000000000000000000000000000000000000000000000000000000000000000000,806.8341108106791128236373605486700845816568049986136139403429583871561418346885223101802662089666524,0.7245441798836067574000638445849294005471373034810142219135948960215202464965199403571497939049813919,0.7253894994163762741571750320603634194760345983137636938782593569915799342653199559053411897703885722,direct,,open; exact instants in boundary supplement
interval,52,Q3-003,2,巡航,806.8341108106791,829.0684948941623,806.8341108106791128236373605486700845816568049986136139403429583871561418346885223101802662089666524,829.0684948941623000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.7253894994163762741571750320603634194760345983137636938782593569915799342653199559053411897703885722,0.7869290376340338866552721512416507338272521805690964277749873440839586428717650487518372745561256834,relay,R-001,open; exact instants in boundary supplement
interval,53,Q3-003,2,巡航,829.0684948941623,860.0085260013918,829.0684948941623000000000000000000000000000000000000000000000000000000000000000000000000000000000000,860.0085260013918000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.7869290376340338866552721512416507338272521805690964277749873440839586428717650487518372745561256834,0.8725637563485170915936713099705038839745425698610143090774543806563299571387230758696383626144749530,relay,R-001,open; exact instants in boundary supplement
interval,54,Q3-003,2,巡航,860.0085260013918,906.0515492278873,860.0085260013918000000000000000000000000000000000000000000000000000000000000000000000000000000000000,906.0515492278873,0.8725637563485170915936713099705038839745425698610143090774543806563299571387230758696383626144749530,1,relay,R-001,open; exact instants in boundary supplement
interval,55,Q3-003,3,下降,906.0515492278873,929.9913131720157,906.0515492278873,929.9913131720157000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,0.2483920262958106166064693894694948529039017663907788179540208313055513742825979834397935138845175043,relay,R-001,open; exact instants in boundary supplement
interval,56,Q3-003,3,下降,929.9913131720157,1002.4305043060124,929.9913131720157000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1002.4305043060124,0.2483920262958106166064693894694948529039017663907788179540208313055513742825979834397935138845175043,1,relay,R-001,open; exact instants in boundary supplement
interval,57,Q3-003,4,交接,1002.4305043060124,1242.4305043060124,1002.4305043060124,1242.4305043060124,0,1,relay,R-001,open; exact instants in boundary supplement
interval,58,Q3-003,5,爬升,1242.4305043060124,1302.7964969176762,1242.4305043060124,1302.796496917676200000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,0.7516079737041887106408266927275297250386429302056244651924851089829423950561367404973348917162020649,relay,R-001,open; exact instants in boundary supplement
interval,59,Q3-003,5,爬升,1302.7964969176762,1322.7463002044499,1302.796496917676200000000000000000000000000000000000000000000000000000000000000000000000000000000000,1322.7463002044499,0.7516079737041887106408266927275297250386429302056244651924851089829423950561367404973348917162020649,1,relay,R-001,open; exact instants in boundary supplement
interval,60,Q3-003,6,巡航,1322.7463002044499,1368.7893234309456,1322.7463002044499,1368.789323430945600000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,0.1274362436514834619592221418634971642596279249585947722391928585960429752605686740175223418166267742,relay,R-001,open; exact instants in boundary supplement
interval,61,Q3-003,6,巡航,1368.7893234309456,1421.9637386216582,1368.789323430945600000000000000000000000000000000000000000000000000000000000000000000000000000000000,1421.963738621658087176362639451329915418343195001386386059657041612843858165311477689819733791033348,0.1274362436514834619592221418634971642596279249585947722391928585960429752605686740175223418166267742,0.2746105005836237258428249679396365805239654016862363061217406430084200657346800440946588102296114278,relay,R-001,open; exact instants in boundary supplement
interval,62,Q3-003,6,巡航,1421.9637386216582,1422.2691546145177,1421.963738621658087176362639451329915418343195001386386059657041612843858165311477689819733791033348,1422.269154614517700000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.2746105005836237258428249679396365805239654016862363061217406430084200657346800440946588102296114278,0.2754558201163932425999361554150705994528626965189857780864051039784797535034800596428502060950186081,direct,,open; exact instants in boundary supplement
interval,63,Q3-003,6,巡航,1422.2691546145177,1473.8655887285697,1422.269154614517700000000000000000000000000000000000000000000000000000000000000000000000000000000000,1473.865588728569796419498678322537295178946206940903086278191096685132394324431973066910596465385777,0.2754558201163932425999361554150705994528626965189857780864051039784797535034800596428502060950186081,0.4182625970945455085564471316288640227190840937614946538822608421027170051360909368613061579487354257,direct,,open; exact instants in boundary supplement
interval,64,Q3-003,6,巡航,1473.8655887285697,1476.3924378740032,1473.865588728569796419498678322537295178946206940903086278191096685132394324431973066910596465385777,1476.392437874003200000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.4182625970945455085564471316288640227190840937614946538822608421027170051360909368613061579487354257,0.4252563203734002818076948871098852973738176194360418568656191457431237756846688032016197947528660634,direct,,open; exact instants in boundary supplement
interval,65,Q3-003,6,巡航,1476.3924378740032,1476.56740291138,1476.392437874003200000000000000000000000000000000000000000000000000000000000000000000000000000000000,1476.567402911380000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.4252563203734002818076948871098852973738176194360418568656191457431237756846688032016197947528660634,0.4257405823868644614275144540199866226570860500955157161254301724166273799594179692812752143356824469,direct,,open; exact instants in boundary supplement
interval,66,Q3-003,6,巡航,1476.56740291138,1580.0,1476.567402911380000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1580.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.4257405823868644614275144540199866226570860500955157161254301724166273799594179692812752143356824469,0.7120176493650811742226200124765590196723674438958908888711957197962310235768712614854977645350537069,direct,,open; exact instants in boundary supplement
interval,67,Q3-003,6,巡航,1580.0,1684.0487202005663,1580.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1684.0487202005663,0.7120176493650811742226200124765590196723674438958908888711957197962310235768712614854977645350537069,1,direct,,open; exact instants in boundary supplement
interval,68,Q3-003,7,下降,1684.0487202005663,1849.8835659977485,1684.0487202005663,1849.883565997748500000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,0.8930305812836382726936495681723606225276514149744527814123718491154592080922305102244355192451997108,direct,,open; exact instants in boundary supplement
interval,69,Q3-003,7,下降,1849.8835659977485,1869.7476752786913,1849.883565997748500000000000000000000000000000000000000000000000000000000000000000000000000000000000,1869.7476752786913,0.8930305812836382726936495681723606225276514149744527814123718491154592080922305102244355192451997108,1,direct,,open; exact instants in boundary supplement
interval,70,Q3-008,1,爬升,360.0,439.4659464518229,360.0000000000000,439.4659464518229,0,1,direct,,open; exact instants in boundary supplement
interval,71,Q3-008,2,巡航,439.4659464518229,487.3572381809172,439.4659464518229,487.3572381809172000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,0.1803702553985637566516115895164957241103494859176806566247013551351047553278962626795162556032860753,direct,,open; exact instants in boundary supplement
interval,72,Q3-008,2,巡航,487.3572381809172,692.3316409266408,487.3572381809172000000000000000000000000000000000000000000000000000000000000000000000000000000000000,692.3316409266408000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.1803702553985637566516115895164957241103494859176806566247013551351047553278962626795162556032860753,0.9523537212559675425799611555868078293259170412272682364237629804241973705156425478136442379959464333,direct,,open; exact instants in boundary supplement
interval,73,Q3-008,2,巡航,692.3316409266408,704.9825174810595,692.3316409266408000000000000000000000000000000000000000000000000000000000000000000000000000000000000,704.9825174810595,0.9523537212559675425799611555868078293259170412272682364237629804241973705156425478136442379959464333,1,direct,,open; exact instants in boundary supplement
interval,74,Q3-008,3,下降,704.9825174810595,725.501653223247,704.9825174810595,725.5016532232470,0,1,direct,,open; exact instants in boundary supplement
interval,75,Q3-008,4,交接,725.501653223247,829.0684948941623,725.501653223247,829.0684948941623000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,0.4931754365281680952380952380952380952380952380952380952380952380952380952380952380952380952380952381,direct,,open; exact instants in boundary supplement
interval,76,Q3-008,4,交接,829.0684948941623,935.501653223247,829.0684948941623000000000000000000000000000000000000000000000000000000000000000000000000000000000000,935.501653223247,0.4931754365281680952380952380952380952380952380952380952380952380952380952380952380952380952380952381,1,direct,,open; exact instants in boundary supplement
interval,77,Q3-008,5,爬升,935.501653223247,947.5969579333774,935.5016532232470,947.5969579333774000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,0.7073575531894784275086240697840685645170129889317114633742959525134721907948122180982168385247612071,direct,,open; exact instants in boundary supplement
interval,78,Q3-008,5,爬升,947.5969579333774,952.6009330084032,947.5969579333774000000000000000000000000000000000000000000000000000000000000000000000000000000000000,952.6009330084032,0.7073575531894784275086240697840685645170129889317114633742959525134721907948122180982168385247612071,1,direct,,open; exact instants in boundary supplement
interval,79,Q3-008,6,巡航,952.6009330084032,1138.3830623383878,952.6009330084032,1138.383062338387800000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,0.6997006951763014468331547666366272509041563638562529962324523213116137587810781284208321946822081381,direct,,open; exact instants in boundary supplement
interval,80,Q3-008,6,巡航,1138.3830623383878,1170.2262123085457,1138.383062338387800000000000000000000000000000000000000000000000000000000000000000000000000000000000,1170.226212308545700000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.6997006951763014468331547666366272509041563638562529962324523213116137587810781284208321946822081381,0.8196297446014373052895447276015862135078425092676342316796370942343116132454819496721674180494357065,direct,,open; exact instants in boundary supplement
interval,81,Q3-008,6,巡航,1170.2262123085457,1218.1175040376397,1170.226212308545700000000000000000000000000000000000000000000000000000000000000000000000000000000000,1218.1175040376397,0.8196297446014373052895447276015862135078425092676342316796370942343116132454819496721674180494357065,1,direct,,open; exact instants in boundary supplement
interval,82,Q3-008,7,下降,1218.1175040376397,1261.7151780274785,1218.1175040376397,1261.715178027478500000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,0.4571945168180776386864915055374330213066376596807859392096899987609582027207051124138995023531982109,direct,,open; exact instants in boundary supplement
interval,83,Q3-008,7,下降,1261.7151780274785,1293.6125304988843,1261.715178027478500000000000000000000000000000000000000000000000000000000000000000000000000000000000,1293.612530498884300000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.4571945168180776386864915055374330213066376596807859392096899987609582027207051124138995023531982109,0.7916915969682521890896422462354441795280601076693260110968250184345464228006447807746055152220458385,direct,,open; exact instants in boundary supplement
interval,84,Q3-008,7,下降,1293.6125304988843,1313.476639779827,1293.612530498884300000000000000000000000000000000000000000000000000000000000000000000000000000000000,1313.4766397798270,0.7916915969682521890896422462354441795280601076693260110968250184345464228006447807746055152220458385,1,direct,,open; exact instants in boundary supplement
interval,85,Q3-010,1,爬升,360.0,408.45220336914065,360.00000000000000,408.45220336914065,0,1,direct,,open; exact instants in boundary supplement
interval,86,Q3-010,2,巡航,408.45220336914065,662.9541706620554,408.45220336914065,662.95417066205540,0,1,direct,,open; exact instants in boundary supplement
interval,87,Q3-010,3,下降,662.9541706620554,692.3316409266408,662.9541706620554,692.3316409266408000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,0.8246852824610565974549040008170005845072719836411899012694969910243393974931609595569566751134205540,direct,,open; exact instants in boundary supplement
interval,88,Q3-010,3,下降,692.3316409266408,698.5768147050242,692.3316409266408000000000000000000000000000000000000000000000000000000000000000000000000000000000000,698.5768147050242,0.8246852824610565974549040008170005845072719836411899012694969910243393974931609595569566751134205540,1,direct,,open; exact instants in boundary supplement
interval,89,Q3-010,4,交接,698.5768147050242,829.0684948941623,698.5768147050242,829.068494894162300000000000000,0,0.62138895328161,direct,,open; exact instants in boundary supplement
