x,box,site,category,priority,expected_s,hard_due_s,Q2_delivery_s,Q3_delivery_s
28,S003-WAT-02,S003,饮用水,10,7200,,5374.447101466163,5313.566067436208
29,S003-WAT-03,S003,饮用水,10,7200,,5032.864497096245,5313.566067436208
30,S003-WAT-04,S003,饮用水,10,7200,,5374.447101466163,5313.566067436208
31,S004-FOD-01,S004,应急食品,8,10800,,5464.430917724676,3252.2297243812836
32,S004-HYG-01,S004,生活卫生用品,6,14400,,5464.430917724676,3252.2297243812836
33,S004-MED-01,S004,医疗物资,20,7200,7200,5464.430917724676,3252.2297243812836
34,S004-WAT-01,S004,饮用水,10,7200,7200,5464.430917724676,3252.2297243812836
35,S004-WAT-02,S004,饮用水,10,7200,,5464.430917724676,3252.2297243812836
36,S004-WAT-03,S004,饮用水,10,7200,,5464.430917724676,3252.2297243812836
37,S005-FOD-01,S005,应急食品,6,14400,,4548.505849915504,8405.554823234696
38,S005-HYG-01,S005,生活卫生用品,4,18000,,4066.671133434396,8405.554823234696
39,S005-MED-01,S005,医疗物资,16,10800,10800,1128.8507657856853,8405.554823234696
40,S005-WAT-01,S005,饮用水,8,10800,10800,4066.671133434396,8405.554823234696
41,S005-WAT-02,S005,饮用水,8,10800,,4548.505849915504,8405.554823234696
42,S005-WAT-03,S005,饮用水,8,10800,,1128.8507657856853,8405.554823234696
43,S006-FOD-01,S006,应急食品,10,7200,,1077.4213122433111,2186.4086159666285
44,S006-HYG-01,S006,生活卫生用品,8,10800,,1077.4213122433111,2752.146014296091
45,S006-MED-01,S006,医疗物资,24,3600,3600,935.501653223247,935.501653223247
46,S006-WAT-01,S006,饮用水,12,3600,3600,1077.4213122433111,935.501653223247
47,S006-WAT-02,S006,饮用水,12,3600,,1077.4213122433111,2186.4086159666285
48,S006-WAT-03,S006,饮用水,12,3600,,935.501653223247,2752.146014296091
49,S007-FOD-01,S007,应急食品,10,7200,,2833.561641183928,3759.1896202911803
50,S007-HYG-01,S007,生活卫生用品,8,10800,,4735.155139716522,3229.793901240015
51,S007-MED-01,S007,医疗物资,24,3600,3600,2484.8500827257185,3272.4413748288666
52,S007-WAT-01,S007,饮用水,12,3600,3600,2484.8500827257185,3272.4413748288666
53,S007-WAT-02,S007,饮用水,12,3600,,2833.561641183928,3229.793901240015
54,S008-FOD-01,S008,应急食品,8,10800,,5115.816101579408,6139.967382770501
55,S008-HYG-01,S008,生活卫生用品,6,14400,,3153.9743544037046,6139.967382770501
56,S008-MED-01,S008,医疗物资,20,7200,7200,5115.816101579408,6139.967382770501
57,S008-WAT-01,S008,饮用水,10,7200,7200,3153.9743544037046,6139.967382770501
58,S008-WAT-02,S008,饮用水,10,7200,,5115.816101579408,6139.967382770501
59,S009-FOD-01,S009,应急食品,6,14400,,5614.954364268154,8151.240639255691
60,S009-MED-01,S009,医疗物资,16,10800,10800,3817.379133108846,8151.240639255691
61,S009-WAT-01,S009,饮用水,8,10800,10800,5614.954364268154,8151.240639255691
62,S010-FOD-01,S010,应急食品,10,7200,,3374.372375840923,1162.1711824975305
63,S010-MED-01,S010,医疗物资,24,3600,3600,1765.4294062713466,1162.1711824975305
64,S010-WAT-01,S010,饮用水,12,3600,3600,3374.372375840923,1162.1711824975305
65,S011-FOD-01,S011,应急食品,6,14400,,5774.734246435762,4370.272823903726
66,S011-MED-01,S011,医疗物资,16,10800,10800,5774.734246435762,4370.272823903726
67,S011-WAT-01,S011,饮用水,8,10800,10800,5774.734246435762,4370.272823903726
68,S012-FOD-01,S012,应急食品,10,7200,,1271.3434070745934,1271.3434070745934
69,S012-MED-01,S012,医疗物资,22,7200,3600,1271.3434070745934,1271.3434070745934
70,S012-WAT-01,S012,饮用水,12,3600,3600,1271.3434070745934,1271.3434070745934
71,S013-FOD-01,S013,应急食品,10,7200,,3858.619063325839,1083.6147419480753
72,S013-MED-01,S013,医疗物资,24,3600,3600,3305.9781986892417,1083.6147419480753
73,S013-WAT-01,S013,饮用水,12,3600,3600,3305.9781986892417,3525.428668434838
74,S014-FOD-01,S014,应急食品,10,7200,,4432.6627040958565,1242.4305043060124
75,S014-MED-01,S014,医疗物资,22,7200,3600,1302.7561093050415,1242.4305043060124
76,S014-WAT-01,S014,饮用水,12,3600,3600,1302.7561093050415,1242.4305043060124
77,S015-FOD-01,S015,应急食品,6,14400,,1257.7665282905032,4999.890584428321
78,S015-MED-01,S015,医疗物资,18,7200,7200,2912.636020157278,4999.890584428321
79,S015-WAT-01,S015,饮用水,8,10800,10800,1257.7665282905032,4999.890584428321
