question,resource,kind,task,drone,start,return,soc,turn_end,ready,charge_or_turn_s
Q3,A-BAT-05,A,Q3-012,U03,1250.9069627433814,2501.813925486763,0.7150359074575421,2501.813925486763,3372.267245791958,870.4533203051951
Q3,A-BAT-06,A,Q3-013,U04,1250.9069627433814,2564.3836025232085,0.6984418510241915,2564.3836025232085,3456.4091961917593,892.0255936685508
Q3,C-BAT-03,C,Q3-006,U07,1668.732364995061,3969.7870837675064,0.23089248385317718,3969.7870837675064,6469.520035418956,2499.732951651449
Q3,B-BAT-03,B,Q3-014,U06,1869.7476752786913,3077.0176866468237,0.7154706685734908,3077.0176866468237,4236.868527786106,1159.8508411392822
Q3,C-BAT-04,C,Q3-007,U08,2107.8421660245544,3668.0172118865776,0.6353014880516465,3668.0172118865776,5291.530654441343,1623.5134425547658
Q3,A-BAT-04,A,Q3-G2-2,U02,2121.3602840485764,4125.135492494796,0.3291667445401476,4125.135492494796,5497.218724592604,1372.083232097808
Q3,A-BAT-03,A,Q3-009,U01,2131.0679318829757,3858.5348177747574,0.5765814888310259,3858.5348177747574,4908.978882294424,1050.4440645196664
Q3,B-BAT-04,B,Q3-H1-2,U05,2163.9990812094743,3740.308721270556,0.5858693984049951,3740.308721270556,5124.801764035231,1384.493042764675
Q3,A-BAT-02,A,Q3-H2-1,U03,2501.8139264867627,4053.9767437162473,0.5723239492764847,4053.9767437162473,5109.955609656818,1055.9788659405704
Q3,A-BAT-01,A,Q3-H1-1,U04,2677.8161773452894,4345.2830632370715,0.5955875895434825,4345.2830632370715,5371.019196830544,1025.736133593473
Q3,B-BAT-02,B,Q3-023,U06,3463.8737758067996,4652.29853866732,0.7315158284012242,4652.29853866732,5784.337769438531,1132.039230771211
Q3,C-BAT-01,C,Q3-016,U08,3668.0172118865776,6104.194922985838,0.20943757614070413,6104.194922985838,8650.413508014313,2546.218585028475
Q3,B-BAT-01,B,Q3-018,U05,3782.286804341491,5610.614364515151,0.42311787356187114,5610.614364515151,7277.21005034124,1666.5956858260897
Q3,C-BAT-02,C,Q3-017,U07,4642.271620470085,6841.983145070918,0.2704974165042052,6841.983145070918,9255.905409311807,2413.9222642408886
Q3,B-BAT-03,B,Q3-026,U06,4652.29854866732,6672.908213705382,0.3939361493893314,6672.908213705382,8390.085554763875,1717.1773410584929
Q3,C-BAT-03,C,Q3-M002,U08,6602.641765014501,8909.51418098043,0.39025708307809415,8909.51418098043,11063.95716764456,2154.4429866641294
Q3,B-BAT-02,B,Q3-G1-2,U06,7060.419207088513,8618.882071422871,0.4759336495656663,8618.882071422871,10193.930412175716,1575.0483407528445
Q3,EC01,R,R-001,R01,0.0,2096.4226962244925,0.8251292261745233,2396.4226962244925,3123.754702197612,1027.3320059731195
Q3,EC04,R,R-004,R02,165.10022869749417,4328.53337317496,0.6225775187842787,4628.53337317496,5619.1825987553975,1290.6492255804378
Q3,EC02,R,R-002,R01,2396.4226962244925,6622.112861396112,0.6248609834455029,6922.112861396112,7909.793582916958,1287.6807215208464
Q3,EC05,R,R-005,R02,4783.276756457865,6938.164082691535,0.8151181920060775,7238.164082691535,7978.510433083635,1040.3463503920993
Q3,EC03,R,R-003,R01,7077.95181667522,9103.888077248386,0.8304748383476053,9403.888077248386,10124.2707873965,1020.3827101481129
Q3,EC06,R,R-006,R02,7238.164182691536,9061.564906293728,0.8460181145275772,9361.564906293728,10061.741357407878,1000.17645111415
