series,full_time_s,soc,charge_seconds
B,2400.0,0.7,1186.6666666666667
B,2400.0,0.71,1169.3333333333333
B,2400.0,0.72,1152.0
B,2400.0,0.73,1134.6666666666667
B,2400.0,0.74,1117.3333333333333
B,2400.0,0.75,1100.0
B,2400.0,0.76,1082.6666666666667
B,2400.0,0.77,1065.3333333333333
B,2400.0,0.78,1048.0
B,2400.0,0.79,1030.6666666666665
B,2400.0,0.8,1013.3333333333331
B,2400.0,0.81,995.9999999999998
B,2400.0,0.82,978.6666666666667
B,2400.0,0.83,961.3333333333334
B,2400.0,0.84,944.0000000000001
B,2400.0,0.85,926.6666666666667
B,2400.0,0.86,909.3333333333334
B,2400.0,0.87,892.0
B,2400.0,0.88,874.6666666666667
B,2400.0,0.89,857.3333333333334
B,2400.0,0.9,839.9999999999998
B,2400.0,0.91,755.9999999999998
B,2400.0,0.92,671.9999999999995
B,2400.0,0.93,587.9999999999995
B,2400.0,0.94,504.00000000000045
B,2400.0,0.95,420.00000000000034
B,2400.0,0.96,336.0000000000003
B,2400.0,0.97,252.00000000000023
B,2400.0,0.98,168.00000000000014
B,2400.0,0.99,84.00000000000007
B,2400.0,1.0,0.0
C,3000.0,0.0,3000.0
C,3000.0,0.01,2978.3333333333335
C,3000.0,0.02,2956.666666666667
C,3000.0,0.03,2935.0
C,3000.0,0.04,2913.3333333333335
C,3000.0,0.05,2891.6666666666665
C,3000.0,0.06,2870.0
C,3000.0,0.07,2848.3333333333335
C,3000.0,0.08,2826.6666666666665
C,3000.0,0.09,2805.0
C,3000.0,0.1,2783.3333333333335
C,3000.0,0.11,2761.6666666666665
C,3000.0,0.12,2740.0
C,3000.0,0.13,2718.3333333333335
C,3000.0,0.14,2696.666666666667
C,3000.0,0.15,2675.0
C,3000.0,0.16,2653.333333333333
C,3000.0,0.17,2631.6666666666665
C,3000.0,0.18,2609.9999999999995
C,3000.0,0.19,2588.3333333333335
C,3000.0,0.2,2566.6666666666665
C,3000.0,0.21,2545.0
C,3000.0,0.22,2523.3333333333335
C,3000.0,0.23,2501.6666666666665
C,3000.0,0.24,2480.0
C,3000.0,0.25,2458.3333333333335
C,3000.0,0.26,2436.6666666666665
C,3000.0,0.27,2415.0
C,3000.0,0.28,2393.333333333333
C,3000.0,0.29,2371.666666666667
C,3000.0,0.3,2350.0000000000005
C,3000.0,0.31,2328.3333333333335
C,3000.0,0.32,2306.666666666667
C,3000.0,0.33,2285.0
C,3000.0,0.34,2263.3333333333335
C,3000.0,0.35,2241.6666666666665
C,3000.0,0.36,2220.0
C,3000.0,0.37,2198.333333333333
C,3000.0,0.38,2176.6666666666665
C,3000.0,0.39,2155.0
C,3000.0,0.4,2133.333333333333
C,3000.0,0.41,2111.666666666667
C,3000.0,0.42,2090.0000000000005
C,3000.0,0.43,2068.3333333333335
C,3000.0,0.44,2046.666666666667
C,3000.0,0.45,2025.0000000000002
C,3000.0,0.46,2003.3333333333335
C,3000.0,0.47,1981.6666666666667
C,3000.0,0.48,1960.0
C,3000.0,0.49,1938.3333333333333
C,3000.0,0.5,1916.6666666666665
C,3000.0,0.51,1894.9999999999998
C,3000.0,0.52,1873.3333333333335
C,3000.0,0.53,1851.6666666666663
C,3000.0,0.54,1829.9999999999995
C,3000.0,0.55,1808.3333333333333
C,3000.0,0.56,1786.6666666666665
C,3000.0,0.57,1765.0000000000002
C,3000.0,0.58,1743.3333333333335
C,3000.0,0.59,1721.6666666666667
C,3000.0,0.6,1700.0
C,3000.0,0.61,1678.3333333333333
C,3000.0,0.62,1656.6666666666665
C,3000.0,0.63,1634.9999999999998
C,3000.0,0.64,1613.3333333333335
C,3000.0,0.65,1591.6666666666667
C,3000.0,0.66,1570.0
C,3000.0,0.67,1548.3333333333333
C,3000.0,0.68,1526.6666666666665
C,3000.0,0.69,1505.0000000000002
C,3000.0,0.7,1483.3333333333335
C,3000.0,0.71,1461.6666666666667
C,3000.0,0.72,1440.0
C,3000.0,0.73,1418.3333333333335
C,3000.0,0.74,1396.6666666666667
C,3000.0,0.75,1375.0
C,3000.0,0.76,1353.3333333333335
C,3000.0,0.77,1331.6666666666667
C,3000.0,0.78,1310.0
C,3000.0,0.79,1288.3333333333333
C,3000.0,0.8,1266.6666666666665
C,3000.0,0.81,1244.9999999999998
C,3000.0,0.82,1223.3333333333335
C,3000.0,0.83,1201.6666666666667
C,3000.0,0.84,1180.0
C,3000.0,0.85,1158.3333333333335
C,3000.0,0.86,1136.6666666666667
C,3000.0,0.87,1115.0
C,3000.0,0.88,1093.3333333333335
C,3000.0,0.89,1071.6666666666667
C,3000.0,0.9,1049.9999999999995
C,3000.0,0.91,944.9999999999997
C,3000.0,0.92,839.9999999999995
C,3000.0,0.93,734.9999999999994
C,3000.0,0.94,630.0000000000006
C,3000.0,0.95,525.0000000000005
C,3000.0,0.96,420.00000000000034
C,3000.0,0.97,315.0000000000003
C,3000.0,0.98,210.00000000000017
C,3000.0,0.99,105.00000000000009
C,3000.0,1.0,0.0
R,1800.0,0.0,1800.0
R,1800.0,0.01,1787.0
R,1800.0,0.02,1774.0000000000002
R,1800.0,0.03,1761.0
R,1800.0,0.04,1748.0
R,1800.0,0.05,1734.9999999999998
R,1800.0,0.06,1722.0
R,1800.0,0.07,1709.0000000000002
R,1800.0,0.08,1696.0
R,1800.0,0.09,1683.0
R,1800.0,0.1,1670.0
R,1800.0,0.11,1657.0
R,1800.0,0.12,1644.0
R,1800.0,0.13,1631.0
R,1800.0,0.14,1618.0000000000002
R,1800.0,0.15,1605.0
R,1800.0,0.16,1591.9999999999998
R,1800.0,0.17,1578.9999999999998
R,1800.0,0.18,1565.9999999999998
R,1800.0,0.19,1553.0
R,1800.0,0.2,1540.0
R,1800.0,0.21,1527.0
R,1800.0,0.22,1514.0
R,1800.0,0.23,1501.0
R,1800.0,0.24,1488.0
R,1800.0,0.25,1475.0
R,1800.0,0.26,1462.0
R,1800.0,0.27,1449.0
R,1800.0,0.28,1435.9999999999998
R,1800.0,0.29,1423.0000000000002
R,1800.0,0.3,1410.0000000000002
R,1800.0,0.31,1397.0000000000002
R,1800.0,0.32,1384.0000000000002
R,1800.0,0.33,1371.0
R,1800.0,0.34,1358.0
R,1800.0,0.35,1345.0
R,1800.0,0.36,1332.0
R,1800.0,0.37,1319.0
R,1800.0,0.38,1306.0
R,1800.0,0.39,1292.9999999999998
R,1800.0,0.4,1279.9999999999998
R,1800.0,0.41,1267.0000000000002
R,1800.0,0.42,1254.0000000000002
R,1800.0,0.43,1241.0000000000002
R,1800.0,0.44,1228.0
R,1800.0,0.45,1215.0
R,1800.0,0.46,1202.0
R,1800.0,0.47,1189.0
R,1800.0,0.48,1176.0
R,1800.0,0.49,1163.0
R,1800.0,0.5,1150.0
R,1800.0,0.51,1136.9999999999998
R,1800.0,0.52,1124.0
R,1800.0,0.53,1110.9999999999998
R,1800.0,0.54,1097.9999999999998
R,1800.0,0.55,1085.0
R,1800.0,0.56,1072.0
R,1800.0,0.57,1059.0
R,1800.0,0.58,1046.0
R,1800.0,0.59,1033.0
R,1800.0,0.6,1020.0
R,1800.0,0.61,1006.9999999999999
R,1800.0,0.62,993.9999999999999
R,1800.0,0.63,980.9999999999999
R,1800.0,0.64,968.0
R,1800.0,0.65,955.0
R,1800.0,0.66,942.0
R,1800.0,0.67,928.9999999999999
R,1800.0,0.68,915.9999999999999
R,1800.0,0.69,903.0000000000001
R,1800.0,0.7,890.0
R,1800.0,0.71,877.0
R,1800.0,0.72,864.0
R,1800.0,0.73,851.0
R,1800.0,0.74,838.0
R,1800.0,0.75,825.0
R,1800.0,0.76,812.0
R,1800.0,0.77,799.0
R,1800.0,0.78,786.0
R,1800.0,0.79,772.9999999999999
R,1800.0,0.8,759.9999999999999
R,1800.0,0.81,746.9999999999999
R,1800.0,0.82,734.0
R,1800.0,0.83,721.0
R,1800.0,0.84,708.0000000000001
R,1800.0,0.85,695.0
R,1800.0,0.86,682.0
R,1800.0,0.87,669.0
R,1800.0,0.88,656.0
R,1800.0,0.89,643.0
R,1800.0,0.9,629.9999999999998
R,1800.0,0.91,566.9999999999998
R,1800.0,0.92,503.9999999999998
R,1800.0,0.93,440.99999999999966
R,1800.0,0.94,378.0000000000003
R,1800.0,0.95,315.0000000000003
R,1800.0,0.96,252.00000000000023
R,1800.0,0.97,189.00000000000014
R,1800.0,0.98,126.00000000000011
R,1800.0,0.99,63.00000000000006
R,1800.0,1.0,0.0
